,token,frequency
1364,word,41
1365,laughing,41
1366,bakersfield,41
1367,human,41
1368,fullerton,41
1369,fabulous,41
1370,code,41
1371,urban,41
1372,carolina,41
1373,miami,41
1374,secret,40
1375,corona,40
1376,film,40
1377,#weekend,40
1378,steak,40
1379,busy,40
1380,#yum,40
1381,hella,40
1382,diamond,40
1383,smiling,40
1384,apartments,40
1385,original,40
1386,driving,40
1387,peeps,40
1388,dtla,40
1389,classic,40
1390,miles,40
1391,colors,40
1392,fantastic,40
1393,#throwbackthursday,40
1394,save,40
1395,energy,40
1396,finished,40
1397,rocking,40
1398,grandma,40
1399,alive,40
1400,chillin,40
1401,#brunch,40
1402,pure,40
1403,#home,40
1404,ave,40
1405,saint,40
1406,expo,39
1407,potter,39
1408,supporting,39
1409,comedy,39
1410,#fire,39
1411,band,39
1412,#goldengatebridge,39
1413,#beverlyhills,39
1414,sick,39
1416,highway,39
1417,sleeping,39
1418,stand,39
1419,carlsbad,39
1420,featuring,39
1421,pose,39
1422,hermosa,39
1423,halloween,39
1424,#monday,39
1425,#hair,39
1426,japanese,39
1427,#christmaseve,39
1428,booth,38
1429,port,38
1430,berry,38
1431,jack,38
1432,steakhouse,38
1433,hilarious,38
1434,rt,38
1435,#amazing,38
1436,bag,38
1438,jesus,38
1440,#pdx,38
1441,highland,38
1443,#squad,38
1444,redondo,38
1445,or),38
1446,client,38
1448,50,38
1449,warner,38
1453,historic,38
1454,deep,38
1455,hq,38
1456,seattletacoma,38
1457,step,38
1458,games,38
1459,ontario,38
1460,#sb50,38
1461,rad,37
1462,bottle,37
1463,flowers,37
1464,die,37
1465,prom,37
1466,prince,37
1467,salad,37
1468,moms,37
1469,gifts,37
1470,successful,37
1471,treat,37
1472,avenue,37
1473,americana,37
1474,bless,37
1478,peak,37
1479,#america,37
1480,called,37
1481,#bayarea,37
1482,happening,37
1483,books,37
1484,hearts,37
1485,(with,37
1486,#friday,37
1487,tap,37
1488,tasting,37
1489,bout,36
1490,funday,36
1491,christian,36
1492,#dogsofinstagram,36
1493,tacos,36
1494,dodger,36
1495,cheesecake,36
1496,coronado,36
1497,marriott,36
1498,fox,36
1499,luck,36
1500,mile,36
1501,swear,36
1502,#lit,36
1503,#adventure,36
1504,card,36
1505,hospital,36
1507,boulevard,36
1508,pumpkin,36
1509,series,36
1510,#grateful,36
1511,selfies,36
1512,nephew,36
1513,mornings,36
1515,simple,36
1516,helping,36
1517,outfit,36
1518,sing,36
1519,bought,36
1520,legs,36
1521,vegan,36
1522,wings,36
1523,lobster,36
1524,coliseum,36
1525,sending,36
1526,inspired,36
1527,july,36
1528,#2017,36
1529,#bff,35
1530,chinese,35
1531,degrees,35
1532,finish,35
1533,wa,35
1534,wrap,35
1535,lazy,35
1537,#westcoast,35
1538,shenanigans,35
1539,tickets,35
1540,snap,35
1541,ridge,35
1542,reno,35
1544,mccarran,35
1547,oak,35
1548,uncle,35
1549,honey,35
1550,tavern,35
1551,feliz,35
1552,arizona,35
1553,express,35
1554,fast,35
1555,carpet,35
1556,socal,35
1558,absolute,34
1559,killing,34
1560,knott's,34
1561,aria,34
1564,lmfao,34
1566,silly,34
1567,#wanderlust,34
1568,regional,34
1569,exploring,34
1570,fans,34
1571,#funny,34
1572,momma,34
1573,sneak,34
1574,#happiness,34
1575,public,34
1576,#party,34
1578,#washington,34
1579,complete,34
1580,night's,34
1581,jacket,34
1582,carmel,34
1584,level,34
1585,photoshoot,34
1587,#hiphop,34
1588,awards,34
1589,#style,34
1590,smith,34
1591,streets,34
1592,lord,34
1593,#christmas2015,34
1594,ohio,34
1595,friendship,33
1597,dropping,33
1598,#lifestyle,33
1600,conference,33
1601,forgot,33
1602,dessert,33
1603,#view,33
1605,practice,33
1606,bike,33
1608,learn,33
1609,#weho,33
1610,bff,33
1611,fernando,33
1612,opportunity,33
1613,scenes,33
1614,#1,33
1615,aquarium,33
1616,mar,33
1617,boyfriend,33
1618,door,33
1619,bend,33
1620,surf,33
1621,tuned,33
1622,ferry,33
1623,thx,33
1624,creative,33
1625,at&amp;t,33
1626,mix,33
1627,dead,33
1628,likes,33
1629,tonight's,33
1630,30,33
1631,death,33
1632,nv,33
1633,#artist,33
1634,#photo,33
1635,taco,33
1636,beauties,33
1637,served,33
1638,kingdom,33
1639,3rd,32
1640,nails,32
1641,shrimp,32
1642,chris,32
1643,costa,32
1644,clemente,32
1645,15,32
1646,luxury,32
1647,ha,32
1648,decided,32
1649,mammoth,32
1650,fell,32
1651,#palmsprings,32
1652,ace,32
1653,juice,32
1654,civic,32
1655,master,32
1656,eagle,32
1657,united,32
1659,coolest,32
1660,crush,32
1661,auntie,32
1662,sit,32
1663,walked,32
1664,feet,32
1665,force,32
1666,compton,32
1667,twitter,32
1668,buffalo,32
1669,cal,32
1670,folks,32
1671,capitol,31
1672,vibe,31
1673,key,31
1674,brooklyn,31
1675,rise,31
1676,target,31
1677,westfield,31
1678,dave,31
1679,teaching,31
1680,spokane,31
1681,flying,31
1682,woods,31
1683,kick,31
1684,local,31
1685,sooo,31
1686,tourist,31
1687,culver,31
1692,note,31
1694,woke,31
1695,size,31
1696,gear,31
1697,board,31
1698,korean,31
1700,rooftop,31
1701,choose,31
1702,picking,31
1703,listen,31
1704,meal,31
1705,listening,31
1706,en,31
1707,winning,31
1708,estate,31
1709,#lunch,30
1710,getty,30
1711,match,30
1712,amphitheatre,30
1714,glendale,30
1715,gallery,30
1716,beats,30
1718,seafood,30
1719,#sky,30
1720,skin,30
1722,tan,30
1723,roller,30
1724,#comedy,30
1725,suites,30
1727,deal,30
1728,ventura,30
1729,paris,30
1731,#breakfast,30
1733,#work,30
1734,travel,30
1735,news,30
1736,lax,30
1737,dry,30
1738,glam,30
1739,pull,30
1740,track,30
1742,grab,30
1743,mirage,30
1744,regency,30
1745,window,30
1746,#sisters,30
1747,niece,30
1748,wharf,30
1749,covina,30
1750,elementary,30
1752,11,30
1753,michael,30
1754,#xmas,30
1755,tbt,30
1756,dogs,29
1757,#dog,29
1758,#hike,29
1761,personal,29
1762,olive,29
1763,wishes,29
1764,#photographer,29
1765,paint,29
1766,dates,29
1767,#dinner,29
1768,inspiration,29
1769,married,29
1770,cheer,29
1771,guest,29
1772,plate,29
1773,angels,29
1774,throw,29
1775,empire,29
1776,fat,29
1777,alley,29
1778,cozy,29
1779,#saturday,29
1780,baseball,29
1781,lincoln,29
1782,cliffs,29
1783,minutes,29
1784,filled,29
1785,letting,29
1787,boss,29
1788,voice,29
1789,picked,29
1790,medical,29
1792,corner,29
1793,wonderland,29
1794,growing,29
1795,#actor,29
1796,#lacma,29
1797,ho,29
1798,flower,29
1799,heard,29
1800,montana,29
1801,rocks,29
1802,mansion,29
1803,shops,29
1805,purpose,29
1806,health,28
1807,zone,28
1808,seal,28
1809,bunch,28
1811,journey,28
1812,venetian,28
1813,cosmopolitan,28
1814,grandpa,28
1815,moving,28
1816,#picoftheday,28
1817,pismo,28
1818,mandalay,28
1819,bean,28
1820,summit,28
1821,amc,28
1822,soooo,28
1823,#peace,28
1824,ramen,28
1825,dallas,28
1826,cardio,28
1828,jersey,28
1829,#shopping,28
1830,read,28
1831,facebook,28
1832,blessing,28
1833,bathroom,28
1835,cemetery,28
1836,latte,28
1837,outta,28
1838,kill,28
1839,#hot,28
1841,delta,28
1842,#winter,28
1843,swim,28
1844,sweater,28
1845,wynn,28
1846,uc,28
1847,chateau,28
1848,football,28
1849,#sunshine,28
1850,bieber,28
1851,luv,28
1852,reminder,28
1853,bread,28
1855,#superbowl,28
1856,#superbowl50,28
1857,fancy,28
1858,levi's,27
1859,surprised,27
1860,dirty,27
1861,mirror,27
1862,london,27
1863,sandwich,27
1864,aunt,27
1865,jump,27
1866,kings,27
1867,kisses,27
1868,outlets,27
1869,sap,27
1870,bigger,27
1871,seasons,27
1872,18,27
1873,sounds,27
1874,drunk,27
1875,sad,27
1876,#starbucks,27
1877,kim,27
1878,brewery,27
1879,grow,27
1880,press,27
1881,ugly,27
1882,bitches,27
1883,rio,27
1884,goodnight,27
1885,court,27
1886,sugar,27
1887,private,27
1888,kiss,27
1890,create,27
1891,homies,27
1892,race,27
1893,hold,27
1894,waking,27
1895,bellevue,27
1896,leg,27
1897,#mood,27
1898,burgers,27
1899,history,27
1900,#oakland,27
1901,og,27
1902,blonde,27
1903,cars,27
1904,lakes,27
1905,stone,27
1906,hip,27
1907,#loveit,27
1908,brown,27
1909,launch,27
1910,trails,27
1911,backstage,27
1912,paul,27
1914,henderson,27
1915,#downtown,27
1916,estates,27
1917,episode,27
1918,hoover,27
1919,#lalife,26
1920,shrine,26
1921,seats,26
1922,radio,26
1923,walks,26
1924,steps,26
1925,pomona,26
1926,happier,26
1927,#memories,26
1928,british,26
1930,fran,26
1931,matt,26
1933,muir,26
1934,imagine,26
1935,goodness,26
1936,relaxing,26
1938,captured,26
1939,girlfriend,26
1940,lancaster,26
1941,simply,26
1942,plans,26
1943,brentwood,26
1944,shower,26
1946,coach,26
1947,campus,26
1948,hubby,26
1949,moves,26
1950,pops,26
1951,mary,26
1952,weird,26
1954,entertainment,26
1955,fight,26
1956,theme,26
1957,learning,26
1959,#yosemite,26
1960,#goodnight,26
1961,father,26
1962,reality,26
1963,calls,26
1964,tradition,26
1965,exchange,26
1966,finding,26
1967,movies,26
1968,soft,26
1969,adele,26
1970,complex,26
1971,italy,26
1972,grind,26
1973,(link,26
1974,bio),26
1975,catholic,26
1976,media,26
1977,ski,26
1978,venue,26
1979,#cousins,26
1980,crime,25
1981,changed,25
1982,grace,25
1983,vineyards,25
1984,courtesy,25
1985,riding,25
1986,skies,25
1987,temecula,25
1988,stopped,25
1991,completely,25
1992,17,25
1993,#lagunabeach,25
1994,bird,25
1995,channel,25
1996,trouble,25
1997,#fall,25
1998,blood,25
1999,lovin,25
2000,hugs,25
2001,#harrypotter,25
2002,butter,25
2003,peek,25
2004,#actress,25
2005,balayage,25
2006,#bae,25
2007,buffet,25
2008,treasure,25
2009,sold,25
2010,feed,25
2011,therapy,25
2012,pieces,25
2013,yellow,25
2014,#yummy,25
2015,taste,25
2016,count,25
2017,positive,25
2018,sweetest,25
2019,treats,25
2020,milk,25
2021,#goals,25
2022,focus,25
2023,vip,25
2024,#lastnight,25
2025,sitting,25
2026,stockton,25
2027,child,25
2028,mark,25
2029,crab,25
2030,organic,25
2031,formal,25
2032,stoked,25
2033,#familytime,25
2035,#besties,25
2036,fried,25
2037,caesars,24
2038,#spaceneedle,24
2039,boat,24
2040,singing,24
2041,#bestfriends,24
2042,14,24
2043,#calilife,24
2044,pre,24
2045,#californialove,24
2046,palms,24
2047,jam,24
2048,woodland,24
2049,brings,24
2050,sauce,24
2051,redwood,24
2052,beast,24
2053,goofy,24
2054,vote,24
2055,#pink,24
2056,rolling,24
2057,#holidayparty,24
2058,floor,24
2059,#wine,24
2062,bridal,24
2063,bacon,24
2065,classes,24
2066,sooooo,24
2067,#fitfam,24
2068,midnight,24
2069,#universalstudios,24
2070,ate,24
2071,candid,24
2073,rare,24
2074,torrance,24
2075,deck,24
2076,#traveling,24
2077,#inspiration,24
2078,universe,24
2079,pines,24
2080,doll,24
2081,interview,24
2082,5th,24
2083,#feelthebern,24
2084,sparkle,24
2085,serving,24
2086,yall,24
2087,major,24
2088,le,24
2089,smoke,24
2090,bass,24
2091,greek,24
2092,donuts,24
2093,dropped,24
2094,sunglasses,24
2096,carson,24
2097,premiere,24
2098,regal,24
2099,paramount,24
2100,played,24
2101,november,24
2102,tom,24
2103,james,24
2104,diner,24
2106,record,23
2107,glow,23
2108,#2,23
2110,#producer,23
2111,base,23
2112,#happybirthday,23
2113,seat,23
2114,#night,23
2115,stylist,23
2116,strawberry,23
2117,wheel,23
2118,pit,23
2119,winner,23
2120,skating,23
2121,block,23
2123,davis,23
2124,challenge,23
2125,flow,23
2126,palo,23
2127,cards,23
2129,parade,23
2130,bruh,23
2131,#mom,23
2132,wood,23
2134,feelings,23
2135,bound,23
2137,raw,23
2138,jimmy,23
2139,#gorgeous,23
2140,perform,23
2141,#lajolla,23
2142,finals,23
2143,pants,23
2144,enjoyed,23
2146,perfection,23
2147,dunes,23
2148,animal,23
2149,chino,23
2150,salt,23
2151,13,23
2152,storm,23
2153,#newportbeach,23
2155,crown,23
2156,regram,23
2157,vancouver,23
2158,trump,23
2159,crowd,23
2160,sight,23
2161,valentine's,23
2162,hyatt,23
2163,idk,23
2164,#sfo,23
2165,leaving,23
2167,orlando,23
2168,august,22
2169,visits,22
2170,chula,22
2171,#live,22
2172,#vegasbaby,22
2173,bomb,22
2174,belly,22
2175,freaking,22
2176,calif),22
2177,mexico,22
2178,favs,22
2179,#blue,22
2180,progress,22
2181,rehearsal,22
2182,#beachlife,22
2183,abbey,22
2184,hurt,22
2185,alto,22
2186,100,22
2187,homemade,22
2188,sweat,22
2189,nite,22
2190,#sunrise,22
2191,tgif,22
2192,#loveher,22
2193,meant,22
2194,lifestyle,22
2195,#californiaadventure,22
2196,phi,22
2197,stole,22
2198,dressed,22
2199,&gt;,22
2200,march,22
2201,filming,22
2202,gal,22
2203,wind,22
2204,sherman,22
2205,bistro,22
