,token,frequency
1686,experiences,12
1687,suffering,12
1688,concerns,12
1689,corrupt,12
1690,supporters,12
1691,solution,12
1692,rise,12
1693,broken,12
1694,loving,12
1696,defending,12
1698,swear,12
1699,yr,12
1700,seeks,12
1701,air,12
1703,cameron,12
1704,count,12
1705,include,12
1706,outta,12
1707,ryan,12
1708,#votedemsout,12
1709,#endsanctuarycities,12
1710,admit,12
1711,main,12
1712,welcoming,12
1713,grant,12
1715,scotus,12
1716,pray,12
1717,extra,12
1718,brother,12
1719,water,12
1720,ordinary,12
1721,address,12
1722,poverty,12
1723,shitty,12
1725,union,12
1726,rally,12
1727,interior,12
1728,ignore,12
1729,knowing,12
1730,waking,12
1733,careful,12
1734,stuck,12
1735,saudi,12
1736,rejects,12
1737,(,12
1738,values,12
1739,governments,12
1740,skanks,12
1741,series,12
1743,destroying,12
1744,women's,12
1745,loser,12
1746,laughing,12
1747,arrive,12
1749,cultural,12
1750,resettlement,12
1751,quiet,12
1752,syrians,12
1753,dark,12
1754,london,12
1755,babies,12
1756,easier,12
1757,gun,12
1758,online,12
1759,terrorist,12
1761,jr,12
1762,companies,12
1764,“i,12
1767,film,12
1768,voter,12
1769,pack,12
1770,dem,12
1772,goal,12
1773,names,12
1774,drink,12
1775,busy,12
1776,dudes,12
1777,mail,12
1778,unhcr,12
1779,wins,12
1780,leader,12
1781,programs,12
1782,crap,12
1783,gay,12
1784,doubt,12
1785,county,12
1786,teaching,12
1787,games,12
1789,world's,12
1791,mess,12
1792,ensure,12
1793,trade,12
1794,2000,12
1795,humanitarian,12
1796,idk,12
1797,battle,12
1798,balls,12
1799,dc,12
1800,multiple,11
1801,flirting,11
1802,hearings,11
1804,correct,11
1805,hotel,11
1806,danger,11
1807,random,11
1808,kills,11
1809,largest,11
1810,🌚,11
1811,percent,11
1812,indian,11
1813,#wethepeople,11
1814,fed,11
1815,#wakeupamerica,11
1816,dogs,11
1817,tough,11
1819,assimilate,11
1820,director,11
1821,canadians,11
1822,100%,11
1823,update,11
1824,bills,11
1825,#securetheborder,11
1826,inhumane,11
1827,promises,11
1829,college,11
1830,aggressive,11
1831,pakistani,11
1832,#backtheblue,11
1833,garbage,11
1834,“the,11
1835,(and,11
1836,secret,11
1837,#syria,11
1838,considered,11
1839,denmark,11
1840,threaten,11
1841,shoutout,11
1843,award,11
1844,deny,11
1845,jesus,11
1846,conversation,11
1847,idgaf,11
1848,moving,11
1849,nose,11
1850,dozens,11
1851,walking,11
1852,snap,11
1853,insane,11
1854,em,11
1855,#illegals,11
1856,search,11
1857,sister,11
1858,burden,11
1860,officers,11
1861,august,11
1862,butt,11
1863,documents,11
1864,posting,11
1865,angela,11
1866,reportedly,11
1867,secure,11
1868,ridiculous,11
1869,let’s,11
1870,chinese,11
1872,agreement,11
1873,😊,11
1874,dreams,11
1875,minutes,11
1876,pull,11
1877,cheap,11
1878,#rape,11
1879,#bnp,11
1880,assad,11
1882,raised,11
1883,pls,11
1884,argument,11
1885,#gop,11
1886,choice,11
1887,religion,11
1888,summit,11
1889,basically,11
1891,parties,11
1892,bar,11
1893,skills,11
1895,#nochainmigration,11
1896,decision,11
1897,burn,11
1898,terrible,11
1900,proof,11
1901,#illegalimmigrants,11
1902,scotland,11
1903,starts,11
1904,actions,11
1905,regime,11
1907,ain’t,11
1908,terrorism,11
1909,vile,11
1910,views,11
1911,storm,11
1912,crawl,11
1913,bible,11
1914,/,11
1915,chief,11
1916,protesters,11
1917,negative,11
1918,seek,11
1920,kobach,11
1921,beach,11
1922,solid,11
1923,kick,11
1924,cunts,11
1925,maker,11
1927,fence,11
1928,instagram,11
1929,personal,11
1930,cnn,11
1931,level,11
1932,base,11
1933,honor,11
1934,fundraising,11
1935,he’s,11
1936,yea,11
1937,aren’t,11
1938,entering,11
1939,light,11
1940,#abolishice,11
1941,cages,11
1942,i’d,11
1943,paper,11
1944,religious,11
1945,followers,11
1946,moral,11
1947,friday,11
1948,doctor,11
1949,missing,11
1950,statement,11
1951,#immigrationreform,11
1952,blue,11
1953,competing,10
1954,coulter,10
1955,import,10
1956,tbh,10
1957,fit,10
1959,pope,10
1960,#americans,10
1961,#illegal,10
1962,17,10
1963,expensive,10
1964,queen,10
1965,earth,10
1966,activist,10
1967,#nomorerefugees,10
1968,john,10
1969,neighbors,10
1970,grandmother,10
1971,foundation,10
1972,facing,10
1974,fingers,10
1975,marry,10
1976,spoke,10
1977,wednesday,10
1978,harder,10
1979,pizza,10
1980,invade,10
1981,sluts,10
1982,#liberalismisamentaldisorder,10
1983,pos,10
1984,key,10
1985,origin,10
1987,#voiceforthevoiceless,10
1988,europeans,10
1989,fault,10
1990,porn,10
1991,keeping,10
1992,flag,10
1993,dance,10
1994,plays,10
1995,brussels,10
1996,#borderpatrol,10
1997,btw,10
1998,offended,10
1999,flee,10
2000,tech,10
2001,doors,10
2002,#stopimmigration,10
2003,displaced,10
2004,resettled,10
2005,blood,10
2006,stolen,10
2007,shameful,10
2008,sir,10
2009,talent,10
2010,cute,10
2011,finish,10
2012,armed,10
2013,salvini,10
2014,mio,10
2015,legislation,10
2016,generation,10
2017,constitution,10
2018,details,10
2020,deserves,10
2022,awareness,10
2023,arabia,10
2024,freedom,10
2025,wide,10
2026,involved,10
2027,dinner,10
2028,annual,10
2029,summer,10
2030,haters,10
2033,compared,10
2034,rapist,10
2035,taught,10
2036,plight,10
2037,cash,10
2038,budget,10
2039,jokes,10
2040,educate,10
2041,survivors,10
2042,wing,10
2043,won’t,10
2044,supply,10
2045,excited,10
2046,'i'm,10
2047,attacking,10
2048,miserable,10
2049,discussion,10
2050,remind,10
2051,republic,10
2052,employers,10
2053,jump,10
2054,molesting,10
2056,census,10
2059,short,10
2060,crack,10
2061,dna,10
2062,somali,10
2063,toronto,10
2064,council,10
2065,development,10
2066,condoms,10
2068,saving,10
2069,karma,10
2070,loved,10
2072,sitting,10
2073,shine,10
2074,duty,10
2075,art,10
2077,trauma,10
2078,bigger,10
2079,leaves,10
2080,waste,10
2081,urge,10
2082,complaining,10
2083,guns,10
2084,shoot,10
2085,worthless,10
2086,agreed,10
2087,club,10
2088,mental,10
2089,talked,10
2090,accounts,10
2091,tight,10
2092,ngos,10
2093,rid,10
2095,san,10
2096,goverment,10
2098,thread,10
2099,outrage,10
2100,bro,10
2101,nature,10
2102,ships,10
2103,1),10
2104,constantly,10
2105,aclu,10
2106,accusing,10
2107,fans,10
2108,dies,10
2109,😭,10
2111,finding,10
2112,alcohol,10
2113,25,10
2115,#endvisalottery,10
2116,damage,10
2117,photos,10
2118,refusing,10
2119,offers,10
2120,peoples,10
2121,lawyers,10
2123,hide,10
2124,patrol,10
2125,refused,10
2126,gender,10
2127,behavior,10
2128,#lockherup,10
2129,folks,10
2130,space,10
2131,officially,10
2132,shared,10
2133,artists,10
2134,david,10
2135,stayed,9
2136,info,9
2137,upset,9
2139,kidnapped,9
2140,everify,9
2142,20000,9
2143,proven,9
2144,view,9
2145,profit,9
2146,cheating,9
2147,enforce,9
2148,costing,9
2149,earned,9
2150,arms,9
2151,legs,9
2152,named,9
2153,fox,9
2154,cover,9
2155,healthcare,9
2156,steal,9
2157,sudden,9
2159,afghan,9
2160,surprise,9
2161,driving,9
2162,feminism,9
2163,changed,9
2164,warned,9
2165,degree,9
2166,allegations,9
2168,strike,9
2169,rock,9
2172,company,9
2173,sneak,9
2174,moved,9
2175,#border,9
2176,commonwealth,9
2177,amnesty,9
2178,bird,9
2179,discuss,9
2180,belong,9
2181,football,9
2182,scene,9
2183,posted,9
2184,ps,9
2185,finger,9
2186,veterans,9
2187,rep,9
2188,america's,9
2189,chose,9
2190,notice,9
2191,#nrcassam,9
2192,skinny,9
2193,sucks,9
2194,conference,9
2195,lmfao,9
2196,context,9
2197,worship,9
2199,ethnic,9
2200,wild,9
2201,hispanic,9
2202,domestic,9
2203,george,9
2204,washington,9
2205,#wewelcomerefugees,9
2206,major,9
2207,shan,9
2208,blow,9
2209,sort,9
2210,destruction,9
2211,admitted,9
2212,boss,9
2213,rip,9
2214,globalist,9
2215,ashamed,9
2216,soldiers,9
2217,cook,9
2218,selling,9
2219,price,9
2220,hunt,9
2221,tinder,9
2222,bio,9
2223,stephen,9
2224,businesses,9
2225,nut,9
2226,//,9
2227,dumbass,9
2228,me',9
2229,flow,9
2231,#whitegenocide,9
2232,halloween,9
2233,providing,9
2235,cup,9
2236,looked,9
2237,assaulting,9
2238,pictures,9
2239,filipino,9
2240,burundian,9
2241,#burundi,9
2242,cheated,9
2244,denounced,9
2245,airport,9
2246,shove,9
2247,employees,9
2250,memory,9
2251,lane,9
2253,kidding,9
2254,box,9
2255,debt,9
2256,heads,9
2257,genuine,9
2259,snapchat,9
2260,escape,9
2261,players,9
2262,#congress,9
2263,eastern,9
2264,individuals,9
2265,lame,9
2266,teach,9
2267,decent,9
2268,republicans,9
2269,detain,9
2270,covered,9
2271,sexy,9
2272,lesson,9
2273,voices,9
2274,monster,9
2276,entered,9
2277,promise,9
2278,kris,9
2280,bodies,9
2281,assaulted,9
2282,permanent,9
2283,returned,9
2285,animal,9
2286,afghanistan,9
2287,clothes,9
2288,records,9
2289,pushing,9
2290,lawyer,9
2291,launch,9
2292,churches,9
2293,czech,9
2294,awesome,9
2295,billions,9
2296,minimum,9
2298,populations,9
2299,gross,9
2300,2020,9
2302,effort,9
2304,proposal,9
2305,meant,9
2306,“,9
2307,thot,9
2308,quit,9
2309,deportations,9
2310,reform,9
2311,economics,9
2312,posts,9
2313,movie,9
2314,females,9
2315,moron,9
2316,wit,9
2317,background,9
2318,treating,9
2319,cruel,9
2320,loves,9
2321,positive,9
