,Labels,Tweets,HS_Label
27,1,".@GovernorPataki was a terrible governor of NY, one of the worst -- would’ve been swamped if he ran again!",1
28,1,.@GovernorPataki couldn’t be elected dog catcher if he ran again—so he didn’t!,0
29,1,"Interesting that @Macys criticized me but just paid $650,000 in fines for racial profiling. Are they racists?",0
30,1,Who is @Macys to pretend innocence when they “racial profile” all over the place? Paid big fine!,1
31,1,.@Macys stock just dropped. Interesting. So many people calling to say they are cutting up their @Macys credit card. Thank you!,0
33,1,Why doesn’t somebody study the horrible charges brought against @Macys for racial profiling? Terrible hypocrites!,0
34,1,Obama once again just missed a self-imposed deadline with Iran. Our leadership is weak & ineffective. Double the sanctions!,0
35,1,Our Southern border is totally out of control. This is an absolutely disgraceful. situation.http://t.co/ujz3jENIYo We need border security!,1
37,1,.@TheJuanWilliams you never speak well of me & yet when I saw you at Fox you ran over like a child and wanted a picture. Please share pic!,0
38,1,"Miss Universe, Paulina Vega, criticized me for telling the truth about illegal immigration, but then said she would keep the crown-Hypocrite",1
39,1,Rick Perry failed at the border. Now he is critical of me. He needs a new pair of glasses to see the crimes committed by illegal immigrants.,1
41,1,Flashback – Jeb Bush says illegal immigrants breaking our laws is an “act of love” http://t.co/p8yFzVuw8w He will never secure the border.,1
42,1,.@AnnCoulter U were great last nite @ericbolling on FOX. Our country has become a dumping ground for the world--I'll get it to stop & fast!,1
43,1,Wow! I hear that thousands of people are cutting up their @Macys credit card. That's great. #MakeAmericaGreatAgain!,1
44,1,Do you believe that highly overrated political pundit @krauthammer said this is the best Republican field in 35 years. What a dope!,0
46,1,"Jeb's brother George insisted on a $100,000 fee and $20,000 for a private jet to speak at a charity for severely wounded vets. Not nice!",0
47,1,"You mean George Bush sends our soldiers into combat, they are severely wounded, and then he wants $120,000 to make a boring speech to them?",0
48,1,Dummy writer @Clare_OC from failing @Forbes magazine works so hard to make such trivial license deals look important…,0
50,1,"Dummy @Clare_OC from failing @Forbes magazine: NASCAR deal was 1 nite ballroom, ESPN was small golf outing...",0
52,1,Dummy @Clare_OC @Forbes: Tiny fragrance deal with Parlux means nothing. Still sold at Trump Tower...,0
53,1,Why does a failed magazine like @Forbes constantly seek out trivial nonsense? Their circulation way down. @Clare_OC,0
55,1,Obama and Republicans are hollowing out our military. Now want to cut troop levels. Lowest level in over 20 years.,0
57,1,Iran continues to delay the nuclear deal while doing many bad things behind our backs. Time to WALK and double the sanctions. Stop payments!,0
58,1,Jeb Bush just announced he raised over $100M. Everyone of those people who contributed are getting something to the detriment of America!,0
59,1,I love that thousands of people are boycotting @Macys and cutting up credit cards. No guts no glory. This really backfired - love it!,0
60,1,Has anyone seen the financials of @Univision. They are doing really badly. Too much debt and not enough viewers. Need money fast. Funny!,0
63,1,Mexico's biggest drug lord escapes from jail. Unbelievable corruption and USA is paying the price. I told you so!,1
64,1,Sleep eyes @ChuckTodd is killing Meet The Press. Isn't he pathetic? Love watching him fail!,0
67,1,I hear that sleepy eyes @chucktodd will be fired like a dog from ratings starved Meet The Press? I can't imagine what is taking so long!,0
70,1,"....likewise, billions of dollars gets brought into Mexico through the border. We get the killers, drugs & crime, they get the money!",1
71,1,Mexico’s totally corrupt gov’t looks horrible with El Chapo’s escape—totally corrupt. U.S. paid them $3 billion.,0
73,1,Matt Harvey @Mets -- Don't let the @NYDailyNews get you down---nobody reads it. Play well.,1
74,1,Why do people listen to clown @KarlRove on @FoxNews? Spent $430M & lost all races—a Bushy!,1
75,1,".@FoxNews should not put @KarlRove on—he has no credibility, a bush plant who called all races wrong.",0
77,1,"Irrelevant clown @KarlRove sweats and shakes nervously on @FoxNews as he talks ""bull"" about me. Has zero cred. Made fool of himself in '12.",0
80,1,"I hear @pennjillette show on Broadway is terrible. Not surprised, boring guy (Penn). Without The Apprentice, show would have died long ago.",0
81,1,I loved firing goofball atheist Penn @pennjillette on The Apprentice. He never had a chance. Wrote letter to me begging for forgiveness.,0
84,1,I hope the boycott of @Macys continues forever. So many people are cutting up their cards. Macy's stores suck and they are bad for U.S.A.,0
85,1,.@FoxNews You shouldn’t have @KarlRove on the air—he’s a clown with zero credibility—a Bushy!,1
86,1,.@KarlRove wasted $400 million + and didn’t win one race—a total loser. @FoxNews,0
89,1,No deal is better than a bad deal. America out negotiated again. #Iran,0
90,1,"Dopey @Lawrence O’Donnell, whose unwatchable show is dying in the ratings, said that my Apprentice $ numbers were wrong. He is a fool!",0
93,1,"The worst show in Las Vegas, in my opinion, is @pennjillette. Hokey garbage. New York show even worse!",0
95,1,The Iran deal poses a direct national security threat. It must be stopped in Congress. Stand up Republicans!,0
96,1,.@SenJohnMcCain should be defeated in the primaries. Graduated last in his class at Annapolis--dummy!,1
99,1,.@GovernorPerry just gave a pollster quote on me. He doesn't understand what the word demagoguery means.,0
100,1,.@GovernorPerry failed on the border. He should be forced to take an IQ test before being allowed to enter the GOP debate.,1
102,1,The liberal clown @ariannahuff told her minions at the money losing @HuffingtonPost to cover me as enterainment. I am #1 in Huff Post Poll.,0
104,1,It's driving @ariannahuff & the money losing @HuffingtonPost post crazy that I am #1 in their poll and they only write bad stories about me!,1
106,1,Ratings starved @CNN and @CNNPolitics does not cover me accurately. Why can't they get it right - it's really not that hard!,0
109,1,The $10 billion (net worth) is AFTER all debt and liabilities. So simple to understand but @CNN & @CNNPolitics is just plain dumb!,0
110,1,"In addition to doing a lousy job in taking care of our Vets, John McCain let us down by losing to Barack Obama in his run for President!",1
112,1,....John McCain has failed miserably to fix the situation and to make it possible for Veterans to successfully manage their lives.,0
113,1,"All he does is go on television is talk, talk, talk, but incapable of doing anything.",0
115,1,"Why would anybody listen to @MittRomney? He lost an election that should have easily been won against Obama. By the way,so did John McCain!",1
117,1,One of the reasons I am no fan of John McCain is that our Vets are being treated so badly by him and the politicians. I will fix VA quickly.,0
118,1,The Veterans Administration is in shambles and our veterans are suffering greatly. John McCain has done nothing to help them but talk.,0
119,1,"The ever dwindling @WSJ which is worth about 1/10 of what it was purchased for, is always hitting me politically. Who cares!",0
120,1,We will soon be at a point with our incompetent politicians where we will be treating illegal immigrants better than our veterans.,1
121,1,Look how small the pages have become @WSJ. Looks like a tabloid—saving money I assume!,0
122,1,Rick Perry did an absolutely horrible job of securing the border. He should be ashamed of himself. Gov. Abbott has since been terrific.,0
124,1,.@BreitbartNews is much smarter than sleepy eyes @chucktodd @nbc http://t.co/Lb3PBlN3u0 Thanks to Steve Bannon & real reporters.,0
125,1,"My response to the failing Des Moines Register, the ultra liberal paper that has no power in Iowa https://t.co/4bEAW1sDzU",0
128,1,I hear a failing New York newspaper is going to publish one of my old cell phone numbers. So original - just one of many!,0
129,1,.@FrankLuntz knows nothing about me or my religion. Came to my office looking for work. I had NO interest. I will save the vets!,1
131,1,.@AC360 Has the absolutely worst anti-Trump talking heads on his show. Dopey writer O'brian knows nothing about me or my wealth. A waste!,0
134,1,"Boycott @Macys, no guts, no glory. Besides, there are far better stores!",0
136,1,What a waste of time being interviewed by @andersoncooper when he puts on really stupid talking heads likeTim O'Brien-dumb guy with no clue!,0
138,1,".@BillKristol Bill, your small and slightly failing magazine will be a giant success when you finally back Trump. Country will soar!",0
139,1,"You’re just not getting there @DanaPerino. Sometimes things just don’t work out, but don’t worry--- no problem!",1
140,1,When will anyone be held accountable for the VA scandal? The politicians are experts in never facing any consequence.,0
141,1,The ultra liberal and seriously failing Des Moines Register is BEGGING my team for press credentials to my event in Iowa today-but they lie!,0
144,1,"Isn't it funny that I am now #1 in the money losing @HuffingtonPost (poll), and by a big margin. Dummy @ariannahuff must be thrilled!",1
146,1,.@Macy’s is a big contributor to @PPFA . Anybody against Planned Parenthood should boycott racial profiling Macy’s.,0
147,1,".@ScottWalker despite your coming to my office to give me an award, your very dumb fundraiser hit me very hard--- not smart!",0
149,1,".@ScottWalker is a nice guy, but not presidential material. Wisconsin is in turmoil, borrowing to the hilt, and doing poorly in jobs etc.",0
150,1,"When people find out how bad a job Scott Walker has done in WI, they won’t be voting for him. Massive deficit, bad jobs forecast, a mess.",1
151,1,".@SteveRattner While I think you should have gone to prison for what you did, I guess Obama saved you. But watch – I will win!",1
152,1,.@GovernorSununu who couldn't get elected dog catcher in NH forgot to mention my phenomenal biz success rate: 99.2% https://t.co/WsA3Jnjhwa,0
154,1,"Boston's Mayor Walsh wasted a lot of time and money on going for the Olympics, and then he gave up. I don't want him negotiating for me!",0
155,1,My @FoxNews int. with @seanhannity on Obama being all talk & no action & making America Great Again! http://t.co/RqP6MNnR7h,1
156,1,.#IranDeal will go down as one of the dumbest & most dangerous misjudgments ever entered into in history of our country—incompetent leader!,1
158,1,A nation WITHOUT BORDERS is not a nation at all. We must have a wall. The rule of law matters. Jeb just doesn’t get it.,1
159,1,".@CNN & @CNNPolitics did not say that lawyer Beck lost the case and I got legal fees. Also, she wanted to breast pump in front of me at dep.",0
160,1,Lawyer Elizabeth Beck was easy for me to beat. Ask her clients if they are happy with her results against me. Got total win and legal fees.,0
161,1,".CNN & @CNNPolitics Lawyer Elizabeth Beck did a terrible job against me, she lost (I even got legal fees). I loved beating her,she was easy",0
163,1,.@CNN Why is somebody (Beck) I beat so soundly all of a sudden an expert on Donald Trump (all over television). She knows nothing about me.,0
164,1,So many people who know nothing about me are commenting all over T.V. and the media as though they have great D.J.T. insight. Know NOTHING!,0
165,1,Thank you @Morning_Joe for throwing the pathetic reporter from the failing and money losing Daily Beast off the air. Really cool!,0
167,1,I truly LOVE all of the millions of people who are sticking with me despite so many media lies. There is a great SILENT MAJORITY looming!,0
168,1,This is an outrage! Bias-Free Language Guide claims the word 'American' is 'problematic' -- WHAT?! http://t.co/vKz8a0ICGs,0
169,1,"How can a dummy dope like Harry Hurt, who wrote a failed book about me but doesn’t know me or anything about me, be on TV discussing Trump?",0
171,1,People like lawyer Elizabeth Beck and failed writer Harry Hurt & others talk about me but know nothing about me—crazy!,0
174,1,Carl Cameron @FoxNews is the only reporter I know who consistently fumbles & misrepresents poll results. He has been so wrong & he hates it!,1
176,1,The polls have been consistently great. The silent majority is speaking. Politicians are failing. #MakeAmericaGreatAgain!,0
177,1,"Should not raise taxes in Wisconsin, but massive budget deficit. Education, roads, etc suffering. @DanHenninger lies. @WSJ",1
178,1,I wish good luck to all of the Republican candidates that traveled to California to beg for money etc. from the Koch Brothers. Puppets?,0
180,1,"Despite the false @nytimes story about Jeb Bush being happy with the Trump surge, he fell more than anybody & is miserable.",0
183,1,.@FrankLuntz is a low class slob who came to my office looking for consulting work and I had zero interest. Now he picks anti-Trump panels!,0
184,1,.@FrankLuntz I won every poll of the debate tonight by massive margins @DRUDGE_REPORT & @TIME so where did you find that dumb panel.,0
185,1,"Wow, @megynkelly really bombed tonight. People are going wild on twitter! Funny to watch.",0
186,1,".@FrankLuntz, your so-called ""focus groups"" are a total joke. Don't come to my office looking for business again. You are a clown!",0
187,1,"I really enjoyed the debate tonight even though the @FoxNews trio, especially @megynkelly, was not very good or professional!",0
189,1,.@FoxNews you should be ashamed of yourself. I got you the highest debate ratings in your history & you say nothing but bad...,0
190,1,....Dopey @krauthammer should be fired. @FoxNews,0
192,1,The hatred that clown @krauthammer has for me is unbelievable – causes him to lie when many others say Trump easily won debate.,0
193,1,"So many ""politically correct"" fools in our country. We have to all get back to work and stop wasting time and energy on nonsense!",1
194,1,"Almost universal support that ""Trump won the debate."" Only @FoxNews is consistantly fighting the Trump win, and I got them the ratings!",0
195,1,"Small crowds at @RedState today in Atlanta. People were very angry at EWErickson, a major sleaze and buffoon who has saved me time and money",0
197,1,"I just realized that if you listen to Carly Fiorina for more than ten minutes straight, you develop a massive headache. She has zero chance!",0
199,1,"It amazes me that other networks seem to treat me so much better than @FoxNews. I brought them the biggest ratings in history, & I get zip!",1
200,1,Enough is Enough- no more Bushes! https://t.co/0k0Y0pgbhC,1
203,1,Truly weird Senator Rand Paul of Kentucky reminds me of a spoiled brat without a properly functioning brain. He was terrible at DEBATE!,0
205,1,We must stop the crime and killing machine that is illegal immigration. Rampant problems will only get worse. Take back our country!,1
206,1,Why is @RandPaul allowed to take advantage of the people of Kentucky by running for Senator and Pres. Why should Kentucky be back up plan?,1
207,1,The #IranDeal is a catastrophe that must be stopped. Will lead to at least partial world destruction & make Iran a force like never before.,0
209,1,.@AP and @HuffingtonPost should change their fraudulent story to say THAT I DROPPED @NBC & The Apprentice to run for President!,0
211,1,The polls have been really amazing--we are all tired of incompetent politicians and bad deals! http://t.co/wZiNNsvZx2,0
214,1,Why does @FoxNews keep George Will as a talking head? Wrong on so many subjects!,0
215,1,"@ABCPolitics must apologize. My statement ""we're going to get them out so fast, so quick"" applied to hard core criminals & gang members. LIE",1
216,1,.@TomLlamasABC cannot report the news truthfully. Why not apologize for your fraudulent story on World News Tonight.Gang members & criminals,1
218,1,.@WNTonight please correct your story tonight. The public is fed-up with bad reporting for the sake of sensationalizing something!,0
219,1,".@politico covers me more inaccurately than any other media source, and that is saying something. They go out of their way to distort truth!",0
221,1,How is Bernie Sanders going to defend our country if he can't even defend his own microphone? Very sad!,1
223,1,"Jeb Bush is weak on illegal immigration, in favor of common core, bad on women's health issues and thinks the Iraq war was a good thing.",0
225,1,Jeb Bush has a photoshopped photo for an ad which gives him a black left hand and much different looking body. Jeb just can't get it right!,0
226,1,".@megynkelly must have had a terrible vacation, she is really off her game. Was afraid to confront Dr. Cornel West. No clue on immigration!",1
227,1,".@GovernorPataki did a terrible job as Governor of New York. If he ran again, he would have lost in a landslide. He and Graham ZERO in polls",0
228,1,"Huma Abedin, the top aide to Hillary Clinton and the wife of perv sleazebag Anthony Wiener, was a major security risk as a collector of info",0
231,1,Yet another weak hit by a candidate with a failing campaign. Will Jeb sink as low in the polls as the others who have gone after me?,0
232,1,Why does @oreillyfactor and @FoxNews always have Karl Rove on. He spent $430 million and lost ALL races. A dope who said Romney won election,1
234,1,"Every Poll has me winning BIG.If you listen to dopey Karl Rove, a Trump hater, on @oreillyfactor, you would think I'm doing poorly. @FoxNews",0
235,1,A terrible deal with Iran! https://t.co/dHDFOG3tfp,0
236,1,The deal with Iran will go down as one of the most incompetent ever made. The U.S. lost on virtually every point. We just don't win anymore!,1
237,1,".@MeghanMcCain was terrible on @TheFive yesterday. Angry and obnoxious, she will never make it on T.V. @FoxNews can do so much better!",1
241,1,"Very low ratings radio host Hugh Hewitt asked me about Suleiman, Abu Bake al-Baghdad, Hassan Nasrallah and more - typical ""gotcha"" questions",0
242,1,"Why would a very low ratings radio talk show host like Hugh Hewitt be doing the next debate on @CNN. He is just a 3rd rate ""gotcha"" guy!",1
243,1,"Hillary said such nasty things about me, read directly off her teleprompter...but there was no emotion, no truth. Just can't read speeches!",1
244,1,"Remember that I am self-funding my campaign. Hillary, Jeb and the rest are spending special interest and lobbyist money.100% CONTROLLED",0
246,1,"The phony Club For Growth, which asked me in writing for $1,000,000 (I said no), is now wanting to do negative ads on me. Total hypocrites!",0
248,1,"I will be in Washington D.C. on Wednesday,1 P.M.,in front of the Capitol, to protest the horrible and incompetent deal being made with Iran.",0
250,1,Both Washington D.C. and DALLAS are turning out to be really big events. D.C. is protest of incompetent Iran deal and Dallas is big speech!,0
251,1,Looking forward to being with @SenTedCruz at our big rally in D.C. on Wednesday (1:00 P.M. at the Capitol) to protest insane Iran nuke deal!,1
252,1,Look forward to being in DC tomorrow—big crowd expected for our protest against the truly stupid nuclear deal we are making with Iran.,0
253,1,"Thank you @IngrahamAngle for your strength & wonderful words last night on @FoxNews, but @KarlRove is easy to beat!",1
254,1,Jeb’s policies in Florida helped lead to its almost total collapse. Right after he left he went to work for Lehman Brothers—wow!,0
255,1,See you in D.C. tomorrow at 1:00 P.M. at the Capitol to protest the horribly negotiated deal with Iran. Really sad!,0
257,1,"I had a great day in D.C. even though the subject was an unpleasant one, the horrible Iran Nuke deal. Amazing crowd and enthusiasm!",0
258,1,"I am on @seanhannity tonight at 10:00 on @FoxNews. Will be talking about my day in D.C., the horrendous nuke deal with Iran and more. Enjoy!",0
259,1,"Oh wow, lightweight Governor @BobbyJindal, who is registered at less than 1 percent in the polls, just mocked my hair. So original!",0
261,1,Lightweight Senator @RandPaul should focus on trying to get elected in Kentucky--- a great state which is embarrassed by him.,0
262,1,"I truly understood the appeal of Ron Paul, but his son, @RandPaul, didn't get the right gene.",0
263,1,"Why is someone like George Pataki, who did a terrible job as Governor of N.Y. and registers ZERO in the polls, allowed on the debate stage?",0
265,1,"Little respected Club For Growth asked me for $1,000,000 - I said ""NO"". Now they are spending lobbyist and special interest money on ads!",0
266,1,"My plan will lower taxes for our country, not raise them. Phony @club4growth says I will raise taxes—just another lie.",1
267,1,.@club4growth asked me for $1 million. I said no. Now falsely advertising that I will raise taxes. I’ll lower big league for middle class.,1
268,1,"Christians need support in our country (and around the world), their religious liberty is at stake! Obama has been horrible, I will be great",0
269,1,"I am attracting the biggest crowds, by far, and the best poll numbers, also by far. Much of the media is totally dishonest. So sad!",0
271,1,"Carly Fiorina did such a horrible job at Lucent and HP, virtually destroying both companies, that she never got another CEO job offer! Pres.",0
272,1,Carly Fiorina is terrible at business--the last thing our country needs! http://t.co/n7lO0llhK8,0
273,1,Jeb has been confused for forty years- https://t.co/MoqjlnwryJ,0
274,1,".@oreillyfactor, why don't you have some knowledgeable talking heads on your show for a change instead of the same old Trump haters. Boring!",0
276,1,.@RichLowry is truly one of the dumbest of the talking heads - he doesn't have a clue!,0
278,1,"Senator Marco ""amnesty"" Rubio, who has worst voting record in Senate, just hit me on national security-but I said don't go into Iraq. VISION",1
279,1,Do you ever notice that lightweight @megynkelly constantly goes after me but when I hit back it is totally sexist. She is highly overrated!,0
281,1,"I think @megynkelly should take another eleven day ""unscheduled"" vacation.",1
282,1,"Headline reads"" Rubio passes Bush in Florida poll"" -- Unfair, because Trump destroys them both! Trump 31.5%, Rubio 19.2%, Bush 11.3%",0
283,1,.@FoxNews has been treating me very unfairly & I have therefore decided that I won't be doing any more Fox shows for the foreseeable future.,0
284,1,Incompetent @RichLowry lost it tonight on @FoxNews. He should not be allowed on TV and the FCC should fine him!,1
286,1,.@FoxNews owes me an apology for allowing clueless pundit @RichLowry to use such foul language on TV. Unheard of!,0
287,1,"Despite the establishment and the media’s best efforts, the people are speaking loudly and clearly. Thank you to my amazing supporters!",0
289,1,Dishonest @nytimes reporter Jonathan Martin refused to acknowledge massive crowd surge forward… https://t.co/9Emtq4NdbZ,0
290,1,".@politico, which is not read or respected by many, may be the most dishonest of the media outlets--- and that is saying something.",0
291,1,"The failing @politico news outlet, which I hear is losing lots of money, is really dishonest!",0
294,1,"Just watched @marcorubio on television. Just another all talk, no action, politician. Truly doesn't have a clue! Worst voting record in Sen.",1
297,1,"Dishonest @politico just called to say that none of the polls including Fox, NBC, CNN, Zogby, & Morning Consult matter. Serious haters.",0
299,1,.@MarcoRubio is weak on illegal immigration and will allow anyone into the country.....,1
301,1,.....Has worst attendance record in Senate- rarely there to vote on a bill! @marcorubio,1
303,1,"Lightweight Senator Marco Rubio is VERY weak on immigration, knows nothing about finance and would be incapable of making great trade deals!",0
307,1,"Marco Rubio is a member of the Gang Of Eight or, very weak on stopping illegal immigration. Only changed when poll numbers crashed.",0
308,1,Conservative? Jeb Bush doubled Florida State debt!http://t.co/kDOyCqwuqI,0
309,1,"I watched lightweight Senator Marco Rubio, who is all talk and no action, defend his WEAK position on illegal immigration. Pathetic!",1
310,1,Rubio is totally owned by the lobbyists and special interests. A lightweight senator with the worst voting record in Senate. Lazy!,1
312,1,"Anyone reading this profile of Marco Rubio would never vote for him. Never made ten cents & is totally controlled!
 http://t.co/KA0LvfFJfM",1
314,1,.@MittRomney is trying to hit back at me because I'm saying that he let the Repub Party down w/ his loss to Obama. Should've won—he choked!,0
315,1,"Rubio was very disloyal to Bush, his mentor, when he decided to run against him. Both said they ""love"" each other.They don't - word is hate!",0
316,1,"I'm leading by big margins in every poll but the press keeps asking, would you ever get out? They are just troublemakers, I'm going to win!",0
317,1,The incompetence of our current administration is beyond comprehension. TPP is a terrible deal.,0
318,1,"Political strategist Stuart Stevens,who led Romney down the tubes in what should have been an easy victory,has terrible political instincts!",1
319,1,Crooked @club4growth has given up advertising in Iowa on me—remember they wanted my million dollars—I said no—total frauds!,1
321,1,"If Stuart Stevens' book is as bad as his horrible political advice to Mitt Romney, don't waste your money. Arrogant guy but a zero!",0
323,1,I wonder why somebody doesn't do something about the clowns @politico and their totally dishonest reporting.,1
324,1,".@politico has no power, but so dishonest!",0
326,1,.@stuartpstevens made some of the dumbest political decisions of all time in helping Romney to get destroyed by Obama. Should have won!,0
327,1,Wacky @glennbeck who always seems to be crying (worse than Boehner) speaks badly of me only because I refuse to do his show--a real nut job!,0
330,1,"I hear @glennbeck is in big trouble. Unlike me, his viewers & ratings are way down & he has become irrelevant—glad I didn’t do his show.",1
332,1,"Wow, great news! I hear @EWErickson of Red State was fired like a dog. If you read his tweets, you'll understand why. Just doesn't have IT!",0
334,1,Washington (D.C.) is such a mess - nothing works! I will MAKE AMERICA GREAT AGAIN! It's not going to happen with anyone else.,1
336,1,.@EWErickson is a total low life--- read his past tweets. A dummy with no “it” factor. Will fade fast.,0
339,1,.@EWErickson ran @RedState into the ground. A change was necessary. Congratulations to @RedState and good luck in the future!,0
340,1,"I was so happy when I heard that @Politico, one of the most dishonest political outlets, is losing a fortune. Pure scum!",0
342,1,"President Obama was terrible on @60Minutes tonight. He said CLIMATE CHANGE is the most important thing, not all of the current disasters!",0
343,1,"Great, everyone is saying I did much better on @60Minutes last week than President Obama did tonight. I agree!",0
344,1,Sheldon Adelson is looking to give big dollars to Rubio because he feels he can mold him into his perfect little puppet. I agree!,1
345,1,The arrogant young woman who questioned me in such a nasty fashion at No Labels yesterday was a Jeb staffer! HOW CAN HE BEAT RUSSIA & CHINA?,1
347,1,"The trade deal is a disaster, she was always for it! #DemDebate",1
348,1,Can anyone imagine Chafee as president? No way.,0
349,1,"O'Malley, as former Mayor of Baltimore, has very little chance.",0
350,1,"Sorry, there is no STAR on the stage tonight!",0
351,1,"Like her or not, Hillary did what she had to do in the debate last night—get through it. Her opponents were very gentle and soft!",0
352,1,#DemDebate was really boring but had a lot of fun live tweeting and picked up by far the most followers.,0
353,1,The @GOP should not agree to the ridiculous debate terms that @CNBC is asking unless there is a major benefit to the party.,0
354,1,.@CNBC is pushing the @GOP around by asking for extra time (and no criteria) in order to sell more commercials.,1
355,1,Why is the @GOP being asked to do a debate that is so much longer than the just-aired and very boring #DemDebate?,0
356,1,"Megyn Kelly has two really dumb puppets, Chris Stirewalt & Marc Threaten (a Bushy) who do exactly what she says. All polls say I won debates",1
358,1,.@marcthiessen is a failed Bush speechwriter whose work was so bad that he has never been able to make a comeback. A third rate talent!,0
361,1,"Every poll, Time, Drudge, Slate and others, said I won both debates - but heard Megyn Kelly had her two puppets say bad stuff. I don't watch",1
363,1,"Rumor has it that the grubby head of failing @VanityFair Magazine, ""Sloppy"" Graydon Carter, is going to be fired or replaced very soon?",0
365,1,".@JebBush,
 At the debate you said your brother kept us safe- I wanted to be nice & did not mention the WTC came down during his watch, 9/11.",0
366,1,"No @JebBush, you’re pathetic for saying nothing happened during your brother’s term when the World Trade Center was attacked and came down.",0
367,1,".@JebBush, like it or not, our country needs more energy and spirit than you can provide! #MakeAmericaGreatAgain",0
368,1,".@MittRomney can only speak negatively about my presidential chances because I have been openly hard on his terrible ""choke"" loss to Obama!",0
369,1,.@MittRomney and his campaign manager should not be critical of candidates after they blew an election that should never have been lost!,0
370,1,"Does everyone remember @MittRomney and his famous remarks about ""self-deportation"" and ""47%"". He was done. I don't need his angry advice!",0
371,1,I should release the sad and totally apologetic letter that Penn @pennjillette hand delivered to me. Minds would be changed very fast!,0
372,1,"It's amazing that some of the dumbest people on television work for the Wall Street Journal, in particular a real dope named Charles Lane!",1
374,1,"Best thing my supporters can do if you don't like the way @megynkelly and her puppets unfairly treat ""us"" is don't watch her show!",1
375,1,Jeb is fighting to defend a catastrophic event. I am fighting to make sure it doesn't happen again.Jeb is too soft-we need tougher & sharper,0
376,1,"Both Aberdeen and Turnberry in Scotland, and the soon to open Doonbeg in Ireland, blow Bandon Dunes away. Bandon is a toy by comparison!",0
377,1,"New poll by ABC News/Washington Post TRUMP 32 CARSON 22 RUBIO 10 BUSH 7 Wow, how will the media put a negative spin on this one?",0
378,1,"I think Joe Biden made correct decision for him & his family. Personally, I would rather run against Hillary because her record is so bad.",0
379,1,.@JebBush is totally lost -- he spends too much time managing the bloated staff of his campaign & not enough talking about America's future.,0
380,1,".@JebBush had a tiny 300 person crowd at Senator Tim Scott's forum. I had thousands, and they had real passion! https://t.co/osBW3TM4UO",0
381,1,".@JebBush is slashing campaign salaries, people making millions. If he can't manage his campaign, how can he manage our countries finances?",0
382,1,"While Jeb Bush is cutting staff and salaries, after having paid ridiculous amounts of money, why did he pay so much in the first place?",1
383,1,"This is just not the right time for Jeb Bush. His campaign is in total disarray, too much staff being paid way too much money = U.S. GOVT.",0
386,1,I spell out some of the differences between Ben Carson and myself at 9:00 A.M. on @CNN @jaketapper. Ben is very weak on illegal immigration.,0
387,1,"Ben Carson has never created a job in his life (well, maybe a nurse). I have created tens of thousands of jobs, it's what I do.",1
388,1,"Remember that Carson, Bush and Rubio are VERY weak on illegal immigration. They will do NOTHING to stop it. Our country will be overrun!",1
391,1,Re Super PAC scam: What the other candidates are doing is a disgrace.,0
392,1,All Presidential candidates should immediately disavow their Super PAC’s. They're not only breaking the spirit of the law but the law itself,0
393,1,"Dopey @BillKristol, who has lost all credibility with so many dumb statements and picks, said last week on @Morning_Joe that Biden was in.",0
395,1,".@CNBC continues to report fictious poll numbers. Number one, based on every statistic, is Trump (by a wide margin). They just can't say it!",1
